"ClientId","DataUltimaTransacao"
345568,2019-09-14
345569,2019-10-05
345570,2019-08-20
345571,2019-10-21
345572,2019-10-26
345573,2019-09-07
345574,2019-10-07
345575,2019-08-17
345576,2019-10-05
345577,2019-10-24
345578,2019-10-14
345579,2019-10-07
345580,2019-10-04
345581,2019-10-28
345582,2019-10-20
345583,2019-10-28
345584,2019-09-21
345585,2019-10-13
345586,2019-10-20
345587,2019-10-26
345588,2019-10-09
345589,2019-10-12
345590,2019-07-18
345591,2019-10-20
345592,2019-10-11
345593,2019-10-10
345594,2019-10-10
345595,2019-10-03
345596,2019-10-06
345597,2019-10-29
345598,2019-08-25
345599,2019-10-20
345600,2019-10-09
345601,2019-10-30
345602,2019-10-28
345603,2019-07-14
345604,2019-10-28
345605,2019-10-22
345606,2019-10-21
345607,2019-10-12
345608,2019-10-19
345609,2019-09-24
345610,2019-10-13
345611,2019-09-29
345612,2019-10-16
345613,2019-10-11
345614,2019-08-07
345615,2019-09-03
345616,2019-10-14
345617,2019-10-13
345618,2019-10-24
345619,2019-10-24
345620,2019-10-22
345621,2019-07-22
345622,2019-09-03
345623,2019-10-09
345624,2019-10-06
345625,2019-10-17
345626,2019-07-29
345627,2019-10-24
345628,2019-10-17
345629,2019-10-19
345630,2019-10-11
345631,2019-10-12
345632,2019-10-13
345633,2019-10-25
345634,2019-10-03
345635,2019-10-21
345636,2019-10-18
345637,2019-10-06
345638,2019-09-15
345639,2019-10-28
345640,2019-10-02
345641,2019-10-05
345642,2019-10-09
345643,2019-10-11
345644,2019-10-27
345645,2019-10-14
345646,2019-10-03
345647,2019-10-28
345648,2019-10-20
345649,2019-08-08
345650,2019-10-28
345651,2019-10-13
345652,2019-10-20
345653,2019-10-14
345654,2019-08-17
345655,2019-10-20
345656,2019-07-24
345657,2019-10-17
345658,2019-07-26
345659,2019-10-18
345660,2019-10-11
345661,2019-10-03
345662,2019-10-10
345663,2019-10-17
345664,2019-10-24
345665,2019-10-04
345666,2019-10-02
345667,2019-10-07
345668,2019-10-14
345669,2019-10-16
345670,2019-10-23
345671,2019-10-10
345672,2019-08-26
345673,2019-08-19
345674,2019-10-28
345675,2019-10-28
345676,2019-10-15
345677,2019-07-16
345678,2019-10-14
345679,2019-10-06
345680,2019-10-29
345681,2019-10-12
345682,2019-07-30
345683,2019-10-23
345684,2019-10-25
345685,2019-10-09
345686,2019-09-26
345687,2019-10-29
345688,2019-10-24
345689,2019-10-29
345690,2019-10-17
345691,2019-10-25
345692,2019-10-07
345693,2019-07-04
345694,2019-07-22
345695,2019-09-24
345696,2019-10-04
345697,2019-10-18
345698,2019-10-26
345699,2019-10-01
345700,2019-10-19
345701,2019-10-15
345702,2019-10-17
345703,2019-10-14
345704,2019-10-28
345705,2019-10-13
345706,2019-07-04
345707,2019-08-18
345708,2019-10-13
345709,2019-10-10
345710,2019-10-23
345711,2019-07-12
345712,2019-07-19
345713,2019-10-29
345714,2019-10-19
345715,2019-10-26
345716,2019-10-16
345717,2019-10-23
345718,2019-10-27
345719,2019-08-08
345720,2019-10-20
345721,2019-10-17
345722,2019-10-03
345723,2019-08-28
345724,2019-10-18
345725,2019-10-02
345726,2019-10-22
345727,2019-10-30
345728,2019-10-12
345729,2019-10-07
345730,2019-10-24
345731,2019-10-14
345732,2019-08-06
345733,2019-10-12
345734,2019-08-04
345735,2019-10-04
345736,2019-08-09
345737,2019-10-09
345738,2019-10-01
345739,2019-10-10
345740,2019-07-11
345741,2019-10-22
345742,2019-10-29
345743,2019-10-20
345744,2019-10-27
345745,2019-10-21
345746,2019-10-24
345747,2019-09-14
345748,2019-10-16
345749,2019-10-29
345750,2019-10-17
345751,2019-10-08
345752,2019-08-18
345753,2019-10-27
345754,2019-10-21
345755,2019-10-08
345756,2019-10-10
345757,2019-10-01
345758,2019-07-02
345759,2019-10-01
345760,2019-10-14
345761,2019-10-03
345762,2019-10-23
345763,2019-10-10
345764,2019-10-27
345765,2019-10-21
345766,2019-10-11
345767,2019-10-01
345768,2019-10-03
345769,2019-10-28
345770,2019-09-09
345771,2019-09-19
345772,2019-10-01
345773,2019-10-03
345774,2019-08-03
345775,2019-10-28
345776,2019-08-09
345777,2019-10-23
345778,2019-10-30
345779,2019-10-29
345780,2019-10-21
345781,2019-10-12
345782,2019-10-09
345783,2019-07-09
345784,2019-10-25
345785,2019-10-20
345786,2019-07-21
345787,2019-08-12
345788,2019-10-11
345789,2019-10-17
345790,2019-10-06
345791,2019-08-10
345792,2019-09-02
345793,2019-10-26
345794,2019-10-29
345795,2019-08-26
345796,2019-07-04
345797,2019-10-18
345798,2019-10-21
345799,2019-10-10
345800,2019-10-24
345801,2019-10-19
345802,2019-10-27
345803,2019-08-13
345804,2019-10-08
345805,2019-09-24
345806,2019-07-14
345807,2019-10-08
345808,2019-10-26
345809,2019-10-26
345810,2019-10-23
345811,2019-08-29
345812,2019-10-27
345813,2019-07-04
345814,2019-10-07
345815,2019-10-18
345816,2019-10-23
345817,2019-08-06
345818,2019-10-09
345819,2019-10-17
345820,2019-10-19
345821,2019-10-16
345822,2019-10-06
345823,2019-10-14
345824,2019-10-03
345825,2019-10-26
345826,2019-10-29
345827,2019-10-02
345828,2019-10-22
345829,2019-10-08
345830,2019-10-16
345831,2019-10-06
345832,2019-10-01
345833,2019-10-16
345834,2019-10-29
345835,2019-10-16
345836,2019-07-19
345837,2019-10-08
345838,2019-10-11
345839,2019-08-11
345840,2019-10-19
345841,2019-10-01
345842,2019-10-22
345843,2019-10-02
345844,2019-09-04
345845,2019-10-30
345846,2019-10-17
345847,2019-07-27
345848,2019-10-24
345849,2019-10-19
345850,2019-08-12
345851,2019-10-19
345852,2019-10-17
345853,2019-10-04
345854,2019-10-14
345855,2019-10-18
345856,2019-10-20
345857,2019-10-25
345858,2019-10-05
345859,2019-10-03
345860,2019-10-25
345861,2019-07-26
345862,2019-10-24
345863,2019-10-17
345864,2019-10-26
345865,2019-09-27
345866,2019-10-05
345867,2019-10-03
345868,2019-10-13
345869,2019-10-19
345870,2019-10-19
345871,2019-10-19
345872,2019-10-06
345873,2019-10-13
345874,2019-08-07
345875,2019-10-07
345876,2019-09-24
345877,2019-10-04
345878,2019-10-29
345879,2019-10-26
345880,2019-10-12
345881,2019-10-08
345882,2019-10-04
345883,2019-10-23
345884,2019-08-15
345885,2019-10-01
345886,2019-10-10
345887,2019-10-04
345888,2019-10-09
345889,2019-10-10
345890,2019-08-01
345891,2019-10-06
345892,2019-10-02
345893,2019-10-06
345894,2019-10-04
345895,2019-07-22
345896,2019-10-24
345897,2019-10-23
345898,2019-10-10
345899,2019-10-16
345900,2019-10-12
345901,2019-09-29
345902,2019-10-05
345903,2019-08-10
345904,2019-10-20
345905,2019-10-11
345906,2019-09-29
345907,2019-07-01
345908,2019-07-07
345909,2019-10-02
345910,2019-10-19
345911,2019-10-20
345912,2019-10-20
345913,2019-10-14
345914,2019-10-04
345915,2019-10-27
345916,2019-10-04
345917,2019-10-09
345918,2019-10-15
345919,2019-10-14
345920,2019-10-24
345921,2019-10-14
345922,2019-10-12
345923,2019-10-20
345924,2019-10-01
345925,2019-08-16
345926,2019-10-04
345927,2019-10-26
345928,2019-10-10
345929,2019-07-03
345930,2019-10-19
345931,2019-10-09
345932,2019-10-30
345933,2019-10-25
345934,2019-10-17
345935,2019-10-12
345936,2019-10-25
345937,2019-10-12
345938,2019-10-05
345939,2019-10-12
345940,2019-10-19
345941,2019-10-16
345942,2019-10-25
345943,2019-10-30
345944,2019-08-24
345945,2019-10-10
345946,2019-10-28
345947,2019-09-18
345948,2019-10-28
345949,2019-10-28
345950,2019-10-19
345951,2019-10-23
345952,2019-10-02
345953,2019-10-02
345954,2019-10-30
345955,2019-10-22
345956,2019-10-05
345957,2019-10-03
345958,2019-10-10
345959,2019-10-23
345960,2019-09-12
345961,2019-09-21
345962,2019-10-27
345963,2019-10-13
345964,2019-10-01
345965,2019-10-27
345966,2019-10-08
345967,2019-09-20
345968,2019-10-09
345969,2019-10-21
345970,2019-10-29
345971,2019-10-11
345972,2019-10-20
345973,2019-10-06
345974,2019-07-30
345975,2019-10-23
345976,2019-10-07
345977,2019-10-12
345978,2019-10-06
345979,2019-10-04
345980,2019-10-04
345981,2019-09-01
345982,2019-10-16
345983,2019-10-04
345984,2019-09-11
345985,2019-10-03
345986,2019-10-28
345987,2019-10-20
345988,2019-08-16
345989,2019-10-11
345990,2019-08-31
345991,2019-10-06
345992,2019-10-15
345993,2019-10-14
345994,2019-10-20
345995,2019-10-01
345996,2019-10-13
345997,2019-07-08
345998,2019-08-12
345999,2019-10-11
346000,2019-10-06
346001,2019-09-18
346002,2019-10-21
346003,2019-10-03
346004,2019-10-07
346005,2019-10-24
346006,2019-10-16
346007,2019-10-04
346008,2019-10-15
346009,2019-10-15
346010,2019-10-23
346011,2019-10-23
346012,2019-07-17
346013,2019-10-29
346014,2019-10-09
346015,2019-10-23
346016,2019-07-24
346017,2019-10-06
346018,2019-10-13
346019,2019-10-02
346020,2019-10-26
346021,2019-10-25
346022,2019-10-25
346023,2019-10-25
346024,2019-10-29
346025,2019-10-23
346026,2019-09-20
346027,2019-10-18
346028,2019-10-24
346029,2019-10-05
346030,2019-10-06
346031,2019-09-02
346032,2019-10-18
346033,2019-10-29
346034,2019-10-10
346035,2019-08-03
346036,2019-10-06
346037,2019-10-27
346038,2019-10-30
346039,2019-07-13
346040,2019-10-30
346041,2019-10-14
346042,2019-10-28
346043,2019-08-28
346044,2019-10-10
346045,2019-10-05
346046,2019-10-08
346047,2019-10-24
346048,2019-10-08
346049,2019-10-13
346050,2019-10-03
346051,2019-10-21
346052,2019-08-25
346053,2019-10-09
346054,2019-10-18
346055,2019-09-20
346056,2019-10-16
346057,2019-10-22
346058,2019-10-07
346059,2019-10-21
346060,2019-10-03
346061,2019-07-01
346062,2019-09-09
346063,2019-10-01
346064,2019-10-27
346065,2019-10-04
346066,2019-10-29
346067,2019-08-31
346068,2019-10-26
346069,2019-10-14
346070,2019-08-01
346071,2019-10-21
346072,2019-10-15
346073,2019-10-12
346074,2019-10-03
346075,2019-10-15
346076,2019-10-21
346077,2019-10-25
346078,2019-10-12
346079,2019-10-26
346080,2019-10-24
346081,2019-10-23
346082,2019-08-03
346083,2019-10-27
346084,2019-07-25
346085,2019-10-16
346086,2019-08-01
346087,2019-10-28
346088,2019-08-23
346089,2019-10-25
346090,2019-10-29
346091,2019-10-26
346092,2019-10-22
346093,2019-10-01
346094,2019-10-27
346095,2019-10-15
346096,2019-07-09
346097,2019-10-23
346098,2019-10-18
346099,2019-10-27
346100,2019-10-15
346101,2019-10-01
346102,2019-10-04
346103,2019-07-09
346104,2019-10-05
346105,2019-10-30
346106,2019-08-21
346107,2019-07-27
346108,2019-10-24
346109,2019-10-14
346110,2019-10-16
346111,2019-08-27
346112,2019-08-10
346113,2019-10-09
346114,2019-10-08
346115,2019-10-20
346116,2019-10-20
346117,2019-10-05
346118,2019-10-26
346119,2019-09-02
346120,2019-10-06
346121,2019-10-02
346122,2019-10-14
346123,2019-08-03
346124,2019-10-13
346125,2019-09-30
346126,2019-10-16
346127,2019-10-25
346128,2019-10-27
346129,2019-10-23
346130,2019-10-17
346131,2019-09-06
346132,2019-10-02
346133,2019-10-03
346134,2019-07-02
346135,2019-10-27
346136,2019-10-15
346137,2019-10-30
346138,2019-10-02
346139,2019-08-20
346140,2019-10-29
346141,2019-07-27
346142,2019-10-21
346143,2019-10-07
346144,2019-10-09
346145,2019-10-12
346146,2019-10-19
346147,2019-10-05
346148,2019-10-26
346149,2019-08-14
346150,2019-10-14
346151,2019-10-11
346152,2019-09-12
346153,2019-08-27
346154,2019-07-02
346155,2019-10-26
346156,2019-10-08
346157,2019-09-26
346158,2019-09-13
346159,2019-10-27
346160,2019-10-14
346161,2019-10-28
346162,2019-10-07
346163,2019-10-03
346164,2019-10-22
346165,2019-10-14
346166,2019-08-30
346167,2019-10-29
346168,2019-08-10
346169,2019-10-08
346170,2019-10-15
346171,2019-08-17
346172,2019-10-26
346173,2019-10-05
346174,2019-10-14
346175,2019-10-12
346176,2019-10-29
346177,2019-10-02
346178,2019-10-25
346179,2019-10-15
346180,2019-10-01
346181,2019-10-16
346182,2019-10-21
346183,2019-08-13
346184,2019-10-20
346185,2019-07-11
346186,2019-10-11
346187,2019-10-15
346188,2019-10-15
346189,2019-10-28
346190,2019-10-07
346191,2019-10-03
346192,2019-10-25
346193,2019-10-16
346194,2019-10-22
346195,2019-10-09
346196,2019-10-14
346197,2019-10-15
346198,2019-09-14
346199,2019-07-12
346200,2019-10-24
346201,2019-10-10
346202,2019-07-03
346203,2019-10-19
346204,2019-10-09
346205,2019-10-17
346206,2019-10-25
346207,2019-10-30
346208,2019-07-29
346209,2019-10-02
346210,2019-10-21
346211,2019-07-24
346212,2019-09-21
346213,2019-09-04
346214,2019-10-07
346215,2019-10-11
346216,2019-10-24
346217,2019-10-14
346218,2019-10-28
346219,2019-10-30
346220,2019-10-14
346221,2019-08-18
346222,2019-10-25
346223,2019-10-10
346224,2019-10-09
346225,2019-10-10
346226,2019-10-05
346227,2019-10-28
346228,2019-10-17
346229,2019-10-28
346230,2019-10-21
346231,2019-10-14
346232,2019-10-02
346233,2019-10-26
346234,2019-10-24
346235,2019-10-06
346236,2019-10-25
346237,2019-10-27
346238,2019-10-02
346239,2019-10-28
346240,2019-10-16
346241,2019-10-29
346242,2019-10-13
346243,2019-10-29
346244,2019-10-28
346245,2019-07-31
346246,2019-10-12
346247,2019-10-11
346248,2019-10-28
346249,2019-10-02
346250,2019-10-28
346251,2019-10-16
346252,2019-10-26
346253,2019-07-28
346254,2019-10-04
346255,2019-07-28
346256,2019-07-26
346257,2019-10-16
346258,2019-10-23
346259,2019-10-08
346260,2019-10-09
346261,2019-10-01
346262,2019-10-06
346263,2019-10-02
346264,2019-09-09
346265,2019-08-20
346266,2019-10-27
346267,2019-10-23
346268,2019-10-02
346269,2019-10-23
346270,2019-10-05
346271,2019-10-17
346272,2019-10-15
346273,2019-09-04
346274,2019-10-18
346275,2019-10-23
346276,2019-10-09
346277,2019-10-13
346278,2019-10-09
346279,2019-10-02
346280,2019-10-10
346281,2019-10-12
346282,2019-08-11
346283,2019-10-15
346284,2019-10-22
346285,2019-10-24
346286,2019-10-21
346287,2019-10-03
346288,2019-09-17
346289,2019-09-24
346290,2019-10-19
346291,2019-10-25
346292,2019-10-07
346293,2019-10-22
346294,2019-10-16
346295,2019-10-28
346296,2019-10-19
346297,2019-07-24
346298,2019-10-10
346299,2019-10-01
346300,2019-10-27
346301,2019-08-27
346302,2019-07-27
346303,2019-10-12
346304,2019-10-29
346305,2019-10-01
346306,2019-10-25
346307,2019-10-07
346308,2019-10-05
346309,2019-10-23
346310,2019-10-09
346311,2019-08-18
346312,2019-10-10
346313,2019-10-30
346314,2019-10-26
346315,2019-10-27
346316,2019-10-12
346317,2019-10-19
346318,2019-10-11
346319,2019-10-06
346320,2019-10-29
346321,2019-10-04
346322,2019-10-23
346323,2019-10-04
346324,2019-10-04
346325,2019-10-22
346326,2019-10-04
346327,2019-10-04
346328,2019-10-01
346329,2019-09-08
346330,2019-07-06
346331,2019-10-04
346332,2019-07-28
346333,2019-10-06
346334,2019-10-13
346335,2019-08-22
346336,2019-10-06
346337,2019-09-27
346338,2019-09-03
346339,2019-10-17
346340,2019-10-23
346341,2019-10-25
346342,2019-08-18
346343,2019-10-15
346344,2019-08-19
346345,2019-08-18
346346,2019-10-10
346347,2019-10-30
346348,2019-10-02
346349,2019-10-06
346350,2019-10-26
346351,2019-10-17
346352,2019-08-06
346353,2019-10-22
346354,2019-10-21
346355,2019-10-13
346356,2019-10-17
346357,2019-10-27
346358,2019-10-04
346359,2019-10-15
346360,2019-10-23
346361,2019-10-11
346362,2019-10-15
346363,2019-10-30
346364,2019-10-03
346365,2019-10-21
346366,2019-10-27
346367,2019-10-28
346368,2019-10-08
346369,2019-10-06
346370,2019-10-03
346371,2019-10-03
346372,2019-10-14
346373,2019-08-05
346374,2019-10-03
346375,2019-10-17
346376,2019-10-28
346377,2019-10-30
346378,2019-10-28
346379,2019-10-15
346380,2019-10-17
346381,2019-07-13
346382,2019-10-20
346383,2019-10-20
346384,2019-10-27
346385,2019-08-11
346386,2019-10-28
346387,2019-10-23
346388,2019-10-25
346389,2019-10-14
346390,2019-10-14
346391,2019-07-04
346392,2019-10-06
346393,2019-10-07
346394,2019-10-03
346395,2019-10-16
346396,2019-10-19
346397,2019-10-29
346398,2019-10-05
346399,2019-10-08
346400,2019-10-05
346401,2019-10-21
346402,2019-10-26
346403,2019-10-12
346404,2019-10-29
346405,2019-10-30
346406,2019-08-22
346407,2019-10-02
346408,2019-09-07
346409,2019-10-16
346410,2019-10-03
346411,2019-09-03
346412,2019-10-20
346413,2019-10-06
346414,2019-10-02
346415,2019-10-01
346416,2019-10-28
346417,2019-10-24
346418,2019-10-07
346419,2019-07-07
346420,2019-10-12
346421,2019-10-10
346422,2019-10-24
346423,2019-10-19
346424,2019-07-16
346425,2019-10-26
346426,2019-10-30
346427,2019-07-22
346428,2019-09-03
346429,2019-07-05
346430,2019-10-10
346431,2019-10-25
346432,2019-10-14
346433,2019-10-17
346434,2019-10-18
346435,2019-07-08
346436,2019-08-14
346437,2019-10-01
346438,2019-10-23
346439,2019-09-07
346440,2019-10-12
346441,2019-10-18
346442,2019-10-25
346443,2019-10-26
346444,2019-10-11
346445,2019-10-22
346446,2019-10-26
346447,2019-10-07
346448,2019-08-19
346449,2019-08-21
346450,2019-10-22
346451,2019-08-13
346452,2019-10-26
346453,2019-10-19
346454,2019-10-21
346455,2019-10-26
346456,2019-10-24
346457,2019-10-25
346458,2019-10-15
346459,2019-10-06
346460,2019-10-05
346461,2019-09-13
346462,2019-08-10
346463,2019-10-04
346464,2019-10-11
346465,2019-10-21
346466,2019-08-20
346467,2019-10-02
346468,2019-09-10
346469,2019-10-12
346470,2019-10-24
346471,2019-10-26
346472,2019-09-18
346473,2019-07-16
346474,2019-10-27
346475,2019-08-27
346476,2019-10-20
346477,2019-10-06
346478,2019-10-28
346479,2019-10-24
346480,2019-10-24
346481,2019-10-09
346482,2019-10-28
346483,2019-10-19
346484,2019-07-29
346485,2019-10-10
346486,2019-10-05
346487,2019-10-04
346488,2019-10-24
346489,2019-08-08
346490,2019-08-18
346491,2019-10-27
346492,2019-10-10
346493,2019-10-11
346494,2019-10-08
346495,2019-10-20
346496,2019-10-17
346497,2019-10-04
346498,2019-10-17
346499,2019-10-23
346500,2019-10-05
346501,2019-08-23
346502,2019-10-17
346503,2019-10-29
346504,2019-07-21
346505,2019-10-27
346506,2019-10-18
346507,2019-10-03
346508,2019-10-09
346509,2019-10-20
346510,2019-07-06
346511,2019-10-27
346512,2019-10-14
346513,2019-10-26
346514,2019-07-25
346515,2019-07-29
346516,2019-10-07
346517,2019-07-07
346518,2019-10-23
346519,2019-10-03
346520,2019-10-24
346521,2019-10-30
346522,2019-09-26
346523,2019-10-30
346524,2019-10-22
346525,2019-10-20
346526,2019-10-23
346527,2019-10-01
346528,2019-10-13
346529,2019-10-24
346530,2019-10-02
346531,2019-09-29
346532,2019-07-13
346533,2019-10-03
346534,2019-10-06
346535,2019-10-14
346536,2019-10-18
346537,2019-10-26
346538,2019-10-20
346539,2019-10-27
346540,2019-10-12
346541,2019-10-10
346542,2019-10-20
346543,2019-10-13
346544,2019-07-17
346545,2019-10-19
346546,2019-10-18
346547,2019-10-27
346548,2019-10-12
346549,2019-10-14
346550,2019-10-06
346551,2019-09-16
346552,2019-10-07
346553,2019-10-17
346554,2019-10-28
346555,2019-09-01
346556,2019-10-20
346557,2019-07-08
346558,2019-10-18
346559,2019-10-21
346560,2019-10-12
346561,2019-10-30
346562,2019-10-23
346563,2019-10-08
346564,2019-10-10
346565,2019-10-25
346566,2019-10-06
346567,2019-10-30
346568,2019-10-03
346569,2019-10-08
346570,2019-10-10
346571,2019-09-24
346572,2019-10-28
346573,2019-08-21
346574,2019-10-05
346575,2019-10-21
346576,2019-09-08
346577,2019-10-07
346578,2019-07-10
346579,2019-10-10
346580,2019-10-05
346581,2019-10-16
346582,2019-10-11
346583,2019-08-01
346584,2019-10-15
346585,2019-10-18
346586,2019-08-07
346587,2019-10-23
346588,2019-07-26
346589,2019-10-12
346590,2019-10-05
346591,2019-10-16
346592,2019-10-19
346593,2019-10-22
346594,2019-10-09
346595,2019-10-23
346596,2019-10-23
346597,2019-10-25
346598,2019-10-19
346599,2019-10-13
346600,2019-10-24
346601,2019-10-18
346602,2019-10-15
346603,2019-10-09
346604,2019-10-08
346605,2019-10-24
346606,2019-10-14
346607,2019-10-04
346608,2019-10-07
346609,2019-10-05
346610,2019-09-27
346611,2019-10-17
346612,2019-10-23
346613,2019-10-26
346614,2019-08-05
346615,2019-08-26
346616,2019-10-18
346617,2019-07-01
